Is	Tsa	Ta	T_paredext	Tparedint	Tint	T_n	DeltaT_n
0.00	15.88	15.88	20.31	26.95	26.68	28.54	2.25
0.00	15.75	15.75	20.08	26.65	26.38	28.54	2.25
0.00	15.64	15.64	19.87	26.36	26.09	28.54	2.25
0.00	15.54	15.54	19.66	26.07	25.81	28.54	2.25
0.00	15.46	15.46	19.47	25.78	25.53	28.54	2.25
0.00	15.40	15.40	19.29	25.50	25.25	28.54	2.25
0.00	15.35	15.35	19.12	25.23	24.97	28.54	2.25
0.00	15.32	15.32	18.96	24.95	24.70	28.54	2.25
0.00	15.30	15.30	18.81	24.69	24.43	28.54	2.25
6.72	15.41	15.31	18.69	24.42	24.17	28.54	2.25
19.44	15.64	15.35	18.60	24.17	23.92	28.54	2.25
32.11	15.92	15.42	18.56	23.92	23.67	28.54	2.25
44.71	16.23	15.54	18.55	23.68	23.43	28.54	2.25
57.20	16.58	15.70	18.57	23.44	23.19	28.54	2.25
69.56	16.96	15.89	18.62	23.22	22.97	28.54	2.25
81.76	17.37	16.12	18.71	23.01	22.75	28.54	2.25
93.76	17.82	16.38	18.82	22.81	22.55	28.54	2.25
105.55	18.31	16.68	18.97	22.63	22.36	28.54	2.25
117.10	18.82	17.02	19.14	22.46	22.19	28.54	2.25
128.36	19.36	17.39	19.34	22.30	22.02	28.54	2.25
139.33	19.93	17.79	19.57	22.16	21.87	28.54	2.25
149.98	20.53	18.22	19.82	22.03	21.74	28.54	2.25
160.28	21.15	18.68	20.10	21.93	21.63	28.54	2.25
170.20	21.79	19.17	20.40	21.84	21.53	28.54	2.25
179.72	22.46	19.69	20.73	21.76	21.44	28.54	2.25
188.83	23.14	20.23	21.08	21.71	21.38	28.54	2.25
197.49	23.84	20.80	21.45	21.67	21.33	28.54	2.25
205.70	24.55	21.39	21.85	21.65	21.30	28.54	2.25
213.42	25.28	21.99	22.26	21.65	21.29	28.54	2.25
220.65	26.01	22.62	22.69	21.66	21.29	28.54	2.25
227.37	26.76	23.26	23.14	21.70	21.32	28.54	2.25
233.55	27.51	23.92	23.60	21.76	21.36	28.54	2.25
239.19	28.26	24.58	24.08	21.83	21.42	28.54	2.25
244.27	29.02	25.26	24.57	21.93	21.51	28.54	2.25
248.78	29.78	25.95	25.07	22.04	21.61	28.54	2.25
252.71	30.53	26.64	25.58	22.17	21.72	28.54	2.25
256.06	31.28	27.34	26.09	22.32	21.86	28.54	2.25
258.80	32.02	28.03	26.62	22.49	22.02	28.54	2.25
260.94	32.75	28.73	27.15	22.68	22.19	28.54	2.25
262.48	33.46	29.42	27.68	22.89	22.38	28.54	2.25
263.40	34.17	30.11	28.21	23.11	22.59	28.54	2.25
263.70	34.85	30.80	28.75	23.35	22.82	28.54	2.25
279.62	35.77	31.47	29.31	23.60	23.06	28.54	2.25
294.89	36.67	32.13	29.90	23.87	23.31	28.54	2.25
309.48	37.54	32.78	30.51	24.16	23.59	28.54	2.25
323.36	38.39	33.41	31.13	24.46	23.88	28.54	2.25
336.49	39.21	34.03	31.75	24.78	24.18	28.54	2.25
348.85	39.99	34.63	32.37	25.12	24.50	28.54	2.25
360.41	40.75	35.20	32.99	25.47	24.84	28.54	2.25
371.15	41.47	35.76	33.61	25.84	25.19	28.54	2.25
381.04	42.15	36.29	34.22	26.22	25.56	28.54	2.25
390.07	42.79	36.79	34.81	26.62	25.94	28.54	2.25
398.21	43.39	37.26	35.39	27.03	26.33	28.54	2.25
405.46	43.95	37.71	35.96	27.45	26.74	28.54	2.25
411.79	44.46	38.13	36.51	27.88	27.15	28.54	2.25
417.20	44.93	38.51	37.04	28.32	27.58	28.54	2.25
421.67	45.35	38.86	37.54	28.76	28.02	28.54	2.25
425.19	45.72	39.18	38.03	29.22	28.46	28.54	2.25
427.77	46.04	39.46	38.49	29.67	28.91	28.54	2.25
429.39	46.31	39.71	38.92	30.14	29.36	28.54	2.25
430.06	46.53	39.92	39.33	30.60	29.81	28.54	2.25
429.78	46.70	40.09	39.70	31.06	30.27	28.54	2.25
428.55	46.82	40.23	40.05	31.53	30.72	28.54	2.25
426.38	46.88	40.32	40.36	31.99	31.18	28.54	2.25
423.27	46.89	40.38	40.65	32.44	31.63	28.54	2.25
419.24	46.85	40.40	40.90	32.89	32.07	28.54	2.25
414.29	46.77	40.39	41.12	33.33	32.51	28.54	2.25
408.45	46.65	40.37	41.31	33.77	32.94	28.54	2.25
401.72	46.51	40.33	41.47	34.19	33.37	28.54	2.25
394.14	46.33	40.27	41.60	34.60	33.78	28.54	2.25
385.71	46.13	40.20	41.70	35.00	34.18	28.54	2.25
376.46	45.90	40.11	41.78	35.39	34.57	28.54	2.25
366.42	45.64	40.01	41.84	35.76	34.94	28.54	2.25
355.61	45.36	39.89	41.87	36.12	35.30	28.54	2.25
0.00	39.75	39.75	41.20	36.46	35.65	28.54	2.25
0.00	39.60	39.60	40.61	36.78	35.98	28.54	2.25
0.00	39.43	39.43	40.17	37.05	36.27	28.54	2.25
0.00	39.25	39.25	39.81	37.28	36.52	28.54	2.25
0.00	39.06	39.06	39.52	37.48	36.74	28.54	2.25
0.00	38.85	38.85	39.27	37.66	36.92	28.54	2.25
0.00	38.62	38.62	39.05	37.80	37.08	28.54	2.25
0.00	38.38	38.38	38.86	37.92	37.22	28.54	2.25
0.00	38.13	38.13	38.67	38.03	37.33	28.54	2.25
0.00	37.87	37.87	38.49	38.12	37.43	28.54	2.25
0.00	37.59	37.59	38.31	38.19	37.51	28.54	2.25
0.00	37.30	37.30	38.14	38.24	37.57	28.54	2.25
0.00	37.00	37.00	37.96	38.29	37.62	28.54	2.25
0.00	36.68	36.68	37.78	38.32	37.66	28.54	2.25
0.00	36.36	36.36	37.59	38.34	37.69	28.54	2.25
0.00	36.02	36.02	37.39	38.35	37.70	28.54	2.25
0.00	35.67	35.67	37.19	38.35	37.71	28.54	2.25
0.00	35.31	35.31	36.98	38.34	37.70	28.54	2.25
0.00	34.95	34.95	36.76	38.32	37.69	28.54	2.25
0.00	34.57	34.57	36.53	38.28	37.66	28.54	2.25
0.00	34.19	34.19	36.30	38.24	37.63	28.54	2.25
0.00	33.79	33.79	36.05	38.19	37.58	28.54	2.25
0.00	33.39	33.39	35.80	38.13	37.53	28.54	2.25
0.00	32.98	32.98	35.54	38.06	37.47	28.54	2.25
0.00	32.57	32.57	35.27	37.98	37.39	28.54	2.25
0.00	32.15	32.15	34.99	37.89	37.31	28.54	2.25
0.00	31.72	31.72	34.71	37.79	37.22	28.54	2.25
0.00	31.29	31.29	34.42	37.68	37.12	28.54	2.25
0.00	30.86	30.86	34.12	37.56	37.01	28.54	2.25
0.00	30.42	30.42	33.81	37.43	36.89	28.54	2.25
0.00	29.97	29.97	33.50	37.30	36.76	28.54	2.25
0.00	29.53	29.53	33.18	37.15	36.62	28.54	2.25
0.00	29.08	29.08	32.86	37.00	36.47	28.54	2.25
0.00	28.63	28.63	32.53	36.84	36.32	28.54	2.25
0.00	28.18	28.18	32.19	36.67	36.16	28.54	2.25
0.00	27.73	27.73	31.85	36.49	35.98	28.54	2.25
0.00	27.28	27.28	31.51	36.30	35.81	28.54	2.25
0.00	26.83	26.83	31.16	36.10	35.62	28.54	2.25
0.00	26.38	26.38	30.81	35.90	35.42	28.54	2.25
0.00	25.94	25.94	30.45	35.69	35.22	28.54	2.25
